Source Well 384,Source Well 96,Source Plate 96,Destination Well,Transfer Volume
O01,H1,1,A1,25.809649149297293
A22,A11,2,A1,17.610891899398773
C02,B1,2,A1,15.518163368689558
A23,A12,1,A1,15.256295935565479
A04,A2,2,A1,14.416521289618222
C24,B12,2,A1,12.144736741267117
C16,B8,2,A1,11.49022997077967
G16,D8,2,A1,10.883730970122706
A16,A8,2,A1,6.542203719098945
K16,F8,2,A1,4.877551063489652
I20,E10,2,A1,4.84612678336718
G22,D11,2,A1,4.400662353781244
C22,B11,2,A1,3.810209987068527
I04,E2,2,A1,3.63703202270192
I16,E8,2,A1,3.545687904475829
I12,E6,2,A1,3.5148051232062367
K14,F7,2,A1,3.446774143146378
G08,D4,2,A1,3.430050775240408
I14,E7,2,A1,3.2013807235577127
A01,A1,1,A1,3.1149429137283433
C12,B6,2,A1,3.0528443082856604
C14,B7,2,A1,3.01042332951974
G14,D7,2,A1,2.946831474312535
I08,E4,2,A1,2.895290280242957
I22,E11,2,A1,2.873874494938107
K12,F6,2,A1,2.8290823484546426
A06,A3,2,A1,2.7527975129081286
A18,A9,2,A1,2.751750178550441
G20,D10,2,A1,2.694576484521409
I18,E9,2,A1,2.6324136808021175
G24,D12,2,A1,2.609835730171539
G10,D5,2,A1,2.607230453675236
E16,C8,2,A1,2.583446952902597
E24,C12,2,A1,2.548505227161328
I24,E12,2,A1,2.525979954621875
O17,H9,1,A1,2.523200725925559
O05,H3,1,A1,2.521238619872095
G02,D1,2,A1,2.5179976929083323
A20,A10,2,A1,2.352378079832125
O03,H2,1,A1,2.2825925386213353
K20,F10,2,A1,2.250629577300669
G18,D9,2,A1,2.2412412245158766
K06,F3,2,A1,2.2380936385920362
O23,H12,1,A1,2.2267507839168745
I02,E1,2,A1,2.222434865409744
C06,B3,2,A1,2.1674631593105125
G04,D2,2,A1,2.147267558483832
A14,A7,2,A1,2.129613187716927
I10,E5,2,A1,2.10383406092567
O21,H11,1,A1,2.1037869879151105
M21,G11,1,A1,2.085125226773336
G12,D6,2,A1,2.0814325338341497
K05,F3,1,A1,2.0776151637548623
C08,B4,2,A1,2.047929775459358
M05,G3,1,A1,2.034062776655274
C10,B5,2,A1,1.986867946894534
K08,F4,2,A1,1.98544147329624
O11,H6,1,A1,1.9749322995839032
O07,H4,1,A1,1.9667528155058893
E18,C9,2,A1,1.9556668715605896
A08,A4,2,A1,1.9134015435671559
C18,B9,2,A1,1.9074625575820106
C05,B3,1,A1,1.8658626736563353
C04,B2,2,A1,1.82253444176953
M01,G1,1,A1,1.8010641097766507
I23,E12,1,A1,1.7968649425896772
K23,F12,1,A1,1.7962127354695685
O13,H7,1,A1,1.7613201178444455
C20,B10,2,A1,1.7540912234555908
K19,F10,1,A1,1.7306512516499486
O19,H10,1,A1,1.7110305694222239
K09,F5,1,A1,1.7097549115503798
E22,C11,2,A1,1.709630558955762
M23,G12,1,A1,1.6994334023332196
I15,E8,1,A1,1.682796145808248
O15,H8,1,A1,1.6635624885153935
K17,F9,1,A1,1.6635036242682502
K07,F4,1,A1,1.6151258584710133
E14,C7,2,A1,1.6136567558675436
K03,F2,1,A1,1.5908322930916694
I21,E11,1,A1,1.57624435216325
O09,H5,1,A1,1.5633238868530532
K02,F1,2,A1,1.5611953616526089
A10,A5,2,A1,1.5485959524818838
K21,F11,1,A1,1.5442974764045339
M03,G2,1,A1,1.5429037061189703
K15,F8,1,A1,1.5383849842256916
I06,E3,2,A1,1.5351699160920542
K18,F9,2,A1,1.5307710768098277
M11,G6,1,A1,1.5178225233004028
E20,C10,2,A1,1.5015339090514068
M19,G10,1,A1,1.49254796893279
C09,B5,1,A1,1.485896391334904
A12,A6,2,A1,1.478652447802888
C07,B4,1,A1,1.4619836090819902
I19,E10,1,A1,1.456954394528396
M09,G5,1,A1,1.4522736334567452
E10,C5,2,A1,1.4277511479901304
K13,F7,1,A1,1.420610882224187
E08,C4,2,A1,1.4065214416205185
M13,G7,1,A1,1.4019704746203743
E17,C9,1,A1,1.3821042459340003
M15,G8,1,A1,1.3523264274952542
K11,F6,1,A1,1.3497445033934345
M17,G9,1,A1,1.3364112776577695
G06,D3,2,A1,1.3269058968513978
I17,E9,1,A1,1.3049540866442297
E19,C10,1,A1,1.3037056037893267
E12,C6,2,A1,1.3027121460165434
M07,G4,1,A1,1.2846112586024627
G07,D4,1,A1,1.2790193822982334
G05,D3,1,A1,1.2748918909694789
G09,D5,1,A1,1.2729070458788894
E06,C3,2,A1,1.2719083362763115
C11,B6,1,A1,1.2711689246676225
C03,B2,1,A1,1.2323008106276547
A11,A6,1,A1,1.212469075293883
K04,F2,2,A1,1.2037299721023933
A21,A11,1,A1,1.1999508895298447
I13,E7,1,A1,1.194023211983974
K01,F1,1,A1,1.1849195580508127
A17,A9,1,A1,1.1837261503807084
E04,C2,2,A1,1.168500383402804
E02,C1,2,A1,1.163310261068853
C21,B11,1,A1,1.153661327479295
A19,A10,1,A1,1.1304832377589817
G23,D12,1,A1,1.1201666926885325
I05,E3,1,A1,1.110194018926109
C01,B1,1,A1,1.1075393350714418
A05,A3,1,A1,1.0892683169509616
C23,B12,1,A1,1.0734254090040305
G01,D1,1,A1,1.0665216861489344
A09,A5,1,A1,1.060578787769193
A13,A7,1,A1,1.0584178741587216
I07,E4,1,A1,1.0382111197704391
G13,D7,1,A1,1.0342369747765974
A15,A8,1,A1,1.0200656560986172
A03,A2,1,A1,1.0090095170992117
A07,A4,1,A1,0.9955376813299669
E01,C1,1,A1,0.9726644237525737
G03,D2,1,A1,0.9628335946391345
G15,D8,1,A1,0.9617699295318225
G17,D9,1,A1,0.9605221409033705
C19,B10,1,A1,0.9602670872786604
E05,C3,1,A1,0.9598847607130904
E03,C2,1,A1,0.9491102078502215
I09,E5,1,A1,0.9485452897946032
I03,E2,1,A1,0.9462923264750761
C13,B7,1,A1,0.9455120204628787
G11,D6,1,A1,0.941742889703529
G21,D11,1,A1,0.938602963323085
E21,C11,1,A1,0.9303098097408681
E15,C8,1,A1,0.9285458409133915
C15,B8,1,A1,0.9128242772211763
C17,B9,1,A1,0.8964708470475676
G19,D10,1,A1,0.888230727128269
I01,E1,1,A1,0.8776268432434783
E09,C5,1,A1,0.8311562594553815
E13,C7,1,A1,0.8109619624544172
E07,C4,1,A1,0.7893064467054225
E11,C6,1,A1,0.7658094434743199
K10,F5,2,A1,0.7552415487316061
E23,C12,1,A1,0.7510728098835345
